37.;Udruga umirovljenika Me?imurske ?upanije - 85,87,88;87,52;56,70;3,49;56,70;3,79;56,70;4,24
38.;Me?imurska ?upanija ?akovec ROMI UZOR - 31;4,16;10,69;0,66;10,69;0,71;10,69;0,80
39.;Kristina Horvat Bla?inovi?-soba 6-Hrv. dr. lik. umjetnika M?;9,94;20,62;1,27;20,62;1,38;20,62;1,54
40.;Stela Horvat sobe 56a i 57-Hrv. dru?tvo lik. umjetnika M?;10,96;22,75;1,40;22,75;1,52;22,75;1,70
41.;Bojan Miljan?i? soba 55 i 56-Hrv. dru?tvo lik. umjetnika M?;14,69;30,47;1,87;30,47;2,04;30,47;2,28
42.;Me?imurska ?upanija ?akovec - Centar za pom. - 47,47A;105,65;28,53;1,75;28,53;1,91;28,53;2,13
43.;"HZZO ?akovec - 71,72,73,21,43,44A,52,53,83A";28,34;37,10;2,28;37,10;2,48;37,10;2,77
44.;GKP ?akom d.o.o.- 44B(46,61),42(10),58(13,69),5(8,63),46(8,99);106,06;87,92;5,41;0,00;0,00;0,00;0,00
45.;Udruga nezaposlenih i obespravljenih radnika - 45;15,83;21,33;1,31;21,33;1,43;21,33;1,59
46.;Udruga Dosta je - 22A;54,46;13,50;0,83;13,50;0,90;13,50;1,01
47.;Rukometni savez Me?imurja - 53A;12,47;22,14;1,36;22,14;1,48;22,14;1,66
48.;Udruga invalida rada Me?imurske ?upanije - 49B;88,93;20,76;1,28;20,76;1,39;20,76;1,55
49.;"Gljivarsko dru?tvo ""Smr?ak"" - 59";51,72;8,69;0,53;8,69;0,58;8,69;0,65
50.;Za?titarsko ekolo?ka uruga NOBILIS - 69;28,28;16,60;1,02;16,60;1,11;16,60;1,24
